post_id,title,content,created_at,like_count,comment_count,post_url,comment001,comment002,comment003,comment004,comment005,comment006,comment007,comment008,comment009,comment010,comment011,comment012,comment013,comment014,comment015,comment016,comment017,comment018,comment019,comment020,comment021,comment022,comment023,comment024,comment025,comment026,comment027,comment028,comment029,comment030,comment031,comment032,comment033,comment034,comment035,comment036,comment037,comment038,comment039,comment040,comment041,comment042,comment043,comment044,comment045,comment046,comment047,comment048,comment049,comment050,comment051,comment052,comment053,comment054,comment055,comment056,comment057,comment058,comment059,comment060,comment061,comment062,comment063,comment064,comment065,comment066,comment067,comment068,comment069,comment070,comment071,comment072,comment073,comment074,comment075,comment076,comment077,comment078,comment079,comment080,comment081,comment082,comment083,comment084,comment085,comment086,comment087,comment088,comment089,comment090,comment091,comment092,comment093,comment094,comment095,comment096,comment097,comment098,comment099,comment100
261598908,志文到底是誰？,如題,2026-06-03 08:17:16,7,18,https://www.dcard.tw/f/nsysu/p/261598908,志文 是個很棒的男生 課業不錯、熱心助人、長的又帥、又會跑馬拉松 聽說追求者還多到數不完 真的很羨慕,優點馬拉松很強 缺點牙 但補回來了,我爸,是中山宋江,不知道 問志文吧 他通曉一切,MD到底是誰,志文已經不是中山宋江了 是南台灣宋江,是個傳奇,這個故事要從很久以前說起了,卡,媽蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261597906,東西不見要怎麼處理,5.拿給志文,2026-06-03 05:30:00,1,10,https://www.dcard.tw/f/nsysu/p/261597906,6. 跟志文告狀,7. 叫志文幫你找,8.請志文再去買一袋,好了啦，與其在這裡開沒意義投票，不如想想為什麼你們需要帶風向，另外一邊不用,這種有什麼好一直發文的，要這樣搞還不如想想怎麼好好跟別人道歉吧……,FB做夢文為什麼刪掉了啊？啊你昨天晚上沒睡覺嗎 怎麼沒有新的做夢文 我很期待後續欸,先做夢,聯合國五常那邊怎麼說,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261602160,救救天文學導論期末,不好意思突然打擾了，我是這學期修天文學導論的同學  雖然知道教授會幫非理工學生調分，我上課也努力聽了，但有些內容還是常常跟不上，期中考有認真讀才七八十而已，很怕學期成績不好看。最近準備一堆期末考，有點小崩潰  想請問學長姐手邊如果還有以前天文學導論的期末考古題，或是老師比較常出的題型可以分享的話，真的會非常感激  如果學長姐願意分享的話，我可以用星巴克禮券小小答謝一下🥹🙏  如果不方便也完全沒關係，還是謝謝學長姐看完訊息～  祝學長姐期末順利、天天歐趴✨,2026-06-03 17:40:35,3,10,https://www.dcard.tw/f/nsysu/p/261602160,沒考古 但大致上題目編排如果沒有改的話應該是選擇 是非加幾題問答，講義讀熟沒問題的👌,卡，全部合起來800頁講義讀不完啊,老師不是有給嗎,可以幫忙！你再私訊我,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261599702,贈送面條&咖喱塊,家裡給的東西太多吃不完，所以贈送出去 面交，全都收的優先，限女生！ 私訊我約面交地點～ ———以下為商品說明——— 虎牌好麵：   狀態：未開封   效期：26/09/17 統一泡麵：   狀態：未開封   效期：25/08/05 & 25/09/01（過期 佛蒙特咖喱塊：   狀態：盒子開封（但另一半完全沒有開）   效期：26/06/30,2026-06-03 10:37:03,1,1,https://www.dcard.tw/f/nsysu/p/261599702,志文？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261605276,武嶺什麼時候要蓋得來速？,我好懶，我不想走進米羅，我想坐在車上繞一圈，東西拿了就走,2026-06-04 09:13:39,2,0,https://www.dcard.tw/f/nsysu/p/261605276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261604445,海洋文化,出席全勤出席分只拿19.5/30，去問助教只回一句沒有看到人？,2026-06-04 06:53:13,2,2,https://www.dcard.tw/f/nsysu/p/261604445,認真打的心得被破系統蓋掉=沒有上課  根本無解,學期初就說只認座位上有沒有人 也可能你遲到沒看到人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261604204,找人一起讀書,期末要到了覺得自己很不專心，想找人一起讀書，地點可能是咖啡廳之類的，不喜歡像圖書館太安靜的地方，而且會想吃東西，想問有沒有人有意願一起？ 時間大概是到下禮拜四前的這幾天！,2026-06-04 06:12:42,0,8,https://www.dcard.tw/f/nsysu/p/261604204,可以不讀書只坐在旁邊就好嗎,我有時也會去咖啡廳讀書，如果時間剛好的話可以一起自習看看,陪+1,山大是走投無路不讀書才會讀的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261601952,汽車停車,請問一下各位學長姐，申請汽車停車證後能停校園內的停車格嗎還是只能停海堤停車場，印象中上次去參觀有看到路邊很多停車格（不是停車場裡的） 謝謝🙏,2026-06-03 16:51:11,0,9,https://www.dcard.tw/f/nsysu/p/261601952,不要辦車證,停車證只能停海堤，我有聽過一個說法是不要辦停車證，然後停學校裡面就好，說是這樣他們沒有車子的資料也罰不到你本人，但車證的好處就是放海堤一年就600,不要辦車證 車證只能停海堤停車場 教你一招 進學校左轉上山到圖片這樣往左下去 從這邊繞你就不會遇到守衛擋你 然後你就可以去找車位了 就算被抓到開單找不到人所以也不用付錢  我自己辦了車證才發現這樣比較划算 給你參考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261607379,網大上傳檔案失敗,有人遇過嗎 傻眼 上傳不了 系所沒繳錢的意思ㄇ 看不懂 上傳不了啦啦啦啦,2026-06-04 15:02:38,1,0,https://www.dcard.tw/f/nsysu/p/261607379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261606464,排球不見,大小事的文怎麼刪了啊 我想看到血流成河,2026-06-04 12:39:18,1,4,https://www.dcard.tw/f/nsysu/p/261606464,志文把文章刪掉了,想看新的做夢文,不知道有沒有被告,做夢做到被警察抓走了吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
