post_id,title,content,created_at,like_count,comment_count,post_url,comment001,comment002,comment003,comment004,comment005,comment006,comment007,comment008,comment009,comment010,comment011,comment012,comment013,comment014,comment015,comment016,comment017,comment018,comment019,comment020,comment021,comment022,comment023,comment024,comment025,comment026,comment027,comment028,comment029,comment030,comment031,comment032,comment033,comment034,comment035,comment036,comment037,comment038,comment039,comment040,comment041,comment042,comment043,comment044,comment045,comment046,comment047,comment048,comment049,comment050,comment051,comment052,comment053,comment054,comment055,comment056,comment057,comment058,comment059,comment060,comment061,comment062,comment063,comment064,comment065,comment066,comment067,comment068,comment069,comment070,comment071,comment072,comment073,comment074,comment075,comment076,comment077,comment078,comment079,comment080,comment081,comment082,comment083,comment084,comment085,comment086,comment087,comment088,comment089,comment090,comment091,comment092,comment093,comment094,comment095,comment096,comment097,comment098,comment099,comment100
261645538,印度人OOP,有人從他手中拿到A+的嗎,2026-06-11 09:29:35,2,6,https://www.dcard.tw/f/nsysu/p/261645538,卡 我沒有,C+史提夫,我,我A而已,b+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261641312,讀得好累,有沒有期末取暖區,2026-06-10 14:36:11,3,14,https://www.dcard.tw/f/nsysu/p/261641312,明天要考信號,━━━━━┒ ┓┏┓┏┓┃下輩子還想 ┛┗┛┗┛┃跟你們一起讀光電 ┓┏┓┏┓┃＼😭／ ┛┗┛┗┛┃ / ┓┏┓┏┓┃ノ) ┛┗┛┗┛┃ ┓┏┓┏┓┃ ┛┗┛┗┛┃ ┓┏┓┏┓┃ ┛┗┛┗┛┃ ┃┃┃┃┃┃ ┻┻┻┻┻┻,各位寶寶加油～,原po和留言區的各位 加油！加油！,流體力學這麼怎麼這麼難？完全不知道在讀什麼。大概要明年再見。,哪次不累,快破防了,只有一科期末考👌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261641604,tronclass 是不是又掛了,講義作業都不見了 有人也是這樣的嗎？🥲,2026-06-10 15:26:23,6,2,https://www.dcard.tw/f/nsysu/p/261641604,我也是 幾個小時前看就是這樣了🥲,期末周給大家大驚喜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261646113,資管哥年紀輕輕這麼有錢喔?,所以到底要不要穿女裝?,2026-06-11 11:26:32,5,8,https://www.dcard.tw/f/nsysu/p/261646113,貓貓少年股神 他可是有很多理財板信徒,他的預測有沒有料 很好奇,超沒料,他是口嗨哥 不過居然還有人記得他要女裝 我還以為這篇是我發的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261647304,憑什麼一堆人已經考完期末考了,Nigger nigger nigger 67 67 six seven,2026-06-11 14:46:37,4,4,https://www.dcard.tw/f/nsysu/p/261647304,明天最後一節才考完 簽,我甚至昨天就已經開始放暑假了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261642338,求救 中醫暨整合醫學,有沒有人有存資料，，，，，，，， 明天要考試網大崩了沒有教材能看,2026-06-10 17:51:07,3,4,https://www.dcard.tw/f/nsysu/p/261642338,若是之前有在網大點過下載鍵 只是沒存到自己雲端 點「我的」—>「下載管理」 裡面的資料沒消失，這樣還有救,非常感謝企管系同學的幫助🙏希望大家明天都能順利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261642064,有人有卓宴琳教授的固體廢棄物處理的簡報嗎 急,網大打不開，檔案也沒下完，期末真的會開天窗…🥺 求求有修課的大佬，再也不敢太相信網大了…我一定會馬上下載進平板裡…,2026-06-10 16:49:12,2,1,https://www.dcard.tw/f/nsysu/p/261642064,幫推 😭 中山真的在搞 I❤️NSYSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261645392,多益校園考,校園考有考古題嗎 因為有問到別的學校會給 然後輕鬆過 不知道中山有沒有這種東西,2026-06-11 09:04:19,1,7,https://www.dcard.tw/f/nsysu/p/261645392,卡,校園考有夠菜 根本沒意義 感覺很沒必要,卡,多益還要考古是尛,卡,卡,去刷題本就好啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261645085,期末有用AI眼鏡作弊嗎,很貴欸,2026-06-11 08:06:31,3,3,https://www.dcard.tw/f/nsysu/p/261645085,有,已學會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261642945,網大修好了,RT,2026-06-11 00:39:37,3,3,https://www.dcard.tw/f/nsysu/p/261642945,也要考試了,更新：Tronclass程式登入異常 網頁的沒問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
